REP,DESIGN,OFV,KA,CL,V,ADD,PROP,OM_KA,OM_CL,OM_V,TERM
23,rich,-454.687760293256,1.11254,3.976,50.3344,0.0414265,0.128825,0.11907,0.100471,0.0236821,SUCCESS
24,rich,-453.112723924669,1.21447,3.91414,49.834,0.0218666,0.141935,0.105812,0.0401398,0.0247023,SUCCESS
25,rich,-489.274922554938,1.1108,4.14743,52.5198,0.0146828,0.124042,0.223612,0.073449,0.0313737,SUCCESS
26,rich,-496.066454656768,1.20748,3.90493,51.496,0.07991,0.0908175,0.058779,0.0780649,0.0284022,SUCCESS
27,rich,-447.613762688157,1.1117,4.09782,46.6559,0.0406967,0.111845,0.248191,0.0985931,0.0458185,SUCCESS
28,rich,-408.122388253647,1.24922,3.73204,47.8054,0.0415846,0.125535,0.151021,0.105559,0.0558053,SUCCESS
29,rich,-438.480634466879,1.18265,4.24443,52.4868,0.0413109,0.139034,0.118366,0.12705,0.0301618,SUCCESS
30,rich,-439.263492632025,1.11614,3.73827,50.7808,0.0419469,0.120076,0.272478,0.101009,0.0396661,SUCCESS
31,rich,-435.073753172216,1.36865,3.91261,49.7702,0.0386279,0.122183,0.138986,0.100083,0.0496479,SUCCESS
32,rich,-455.226293437039,1.29096,4.17672,49.1438,0.0445605,0.121335,0.181916,0.0560741,0.0366658,SUCCESS
33,rich,-478.399803008206,1.16143,3.79556,55.8284,0.0572724,0.115205,0.178813,0.0808844,0.0284258,SUCCESS
34,rich,-449.091696179261,1.20203,3.6513,52.6714,0.0366824,0.116525,0.214637,0.12537,0.0452296,SUCCESS
35,rich,-449.49837661876,1.3247,3.71288,52.3593,0.00441048,0.124256,0.202338,0.0845625,0.0445961,SUCCESS
36,rich,-492.45796500234,1.16067,3.94256,48.8209,1.95604e-64,0.114915,0.1809,0.0822835,0.0225609,SUCCESS
37,rich,-418.488612908787,1.23889,3.82404,49.9742,0.0622014,0.114352,0.217506,0.0764403,0.0771115,SUCCESS
38,rich,-472.113887796569,1.09111,3.94881,50.0727,0.0701576,0.0972179,0.11298,0.112986,0.0314886,SUCCESS
39,rich,-486.071399935079,1.25419,3.99184,52.7315,0.0495916,0.116705,0.137636,0.0597571,0.0241397,SUCCESS
40,rich,-464.602364817652,1.12831,4.45865,49.4473,0.0599471,0.104903,0.125232,0.116808,0.0571705,SUCCESS
41,rich,-470.447438345313,1.2546,4.21797,51.3144,0.0388831,0.11898,0.269005,0.0515071,0.0457203,SUCCESS
42,rich,-450.428526968198,1.2194,4.25633,49.3145,0.0155763,0.145211,0.0998889,0.0783394,0.0195931,SUCCESS
43,rich,-491.483168897771,1.10034,4.34412,52.1444,0.0521584,0.101393,0.180075,0.0827624,0.0602085,SUCCESS
44,rich,-461.565150577076,1.309,3.94857,57.3077,0.0810411,0.109353,0.182393,0.0821356,0.0278035,SUCCESS
